employee_id,coworking_space_id,rating,Feature,Amenity,Location
EMP1,CWS71,2,Conference Rooms,24/7 Access,Suburb
EMP1,CWS79,1,Conference Rooms,Event Spaces,Business District
EMP1,CWS86,4,Virtual Office,Event Spaces,Suburb
EMP1,CWS66,1,Conference Rooms,Printing Services,Suburb
EMP2,CWS14,1,Conference Rooms,Event Spaces,Suburb
EMP2,CWS14,4,Conference Rooms,Event Spaces,Suburb
EMP2,CWS70,2,High-Speed Internet,Printing Services,Suburb
EMP2,CWS34,3,Open Seating,Printing Services,Suburb
EMP2,CWS4,1,Conference Rooms,Coffee Bar,Suburb
EMP3,CWS27,1,Conference Rooms,Printing Services,Business District
EMP3,CWS9,3,Private Office,Printing Services,Downtown
EMP3,CWS69,1,High-Speed Internet,Event Spaces,Downtown
EMP4,CWS96,3,Private Office,Coffee Bar,Business District
EMP4,CWS49,3,Virtual Office,Coffee Bar,Business District
EMP4,CWS75,3,Conference Rooms,Printing Services,Business District
EMP4,CWS74,4,High-Speed Internet,Ergonomic Chairs,Downtown
EMP4,CWS78,2,Virtual Office,Event Spaces,Business District
EMP5,CWS23,2,Private Office,Event Spaces,Suburb
EMP5,CWS3,5,Conference Rooms,24/7 Access,Downtown
EMP5,CWS63,4,Conference Rooms,Ergonomic Chairs,Downtown
EMP5,CWS43,5,Open Seating,Event Spaces,Suburb
EMP5,CWS53,2,Conference Rooms,Coffee Bar,Business District
EMP6,CWS52,2,Open Seating,Coffee Bar,Business District
EMP6,CWS34,2,Open Seating,Printing Services,Suburb
EMP7,CWS73,1,Conference Rooms,24/7 Access,Downtown
EMP7,CWS50,5,Virtual Office,24/7 Access,Suburb
EMP7,CWS36,4,High-Speed Internet,Coffee Bar,Downtown
EMP8,CWS70,5,High-Speed Internet,Printing Services,Suburb
EMP8,CWS78,2,Virtual Office,Event Spaces,Business District
EMP8,CWS77,4,Conference Rooms,24/7 Access,Business District
EMP9,CWS76,5,Virtual Office,Ergonomic Chairs,Business District
EMP9,CWS93,2,Conference Rooms,Coffee Bar,Downtown
EMP9,CWS6,2,Open Seating,Ergonomic Chairs,Suburb
EMP10,CWS96,4,Private Office,Coffee Bar,Business District
EMP10,CWS21,3,High-Speed Internet,24/7 Access,Business District
EMP10,CWS79,4,Conference Rooms,Event Spaces,Business District
EMP10,CWS22,3,Conference Rooms,Printing Services,Business District
EMP10,CWS29,1,Conference Rooms,Ergonomic Chairs,Downtown
EMP11,CWS83,4,High-Speed Internet,Event Spaces,Suburb
EMP11,CWS4,3,Conference Rooms,Coffee Bar,Suburb
EMP11,CWS15,5,High-Speed Internet,Event Spaces,Business District
EMP11,CWS26,2,Virtual Office,Coffee Bar,Downtown
EMP12,CWS17,1,Open Seating,24/7 Access,Business District
EMP12,CWS68,4,Virtual Office,Ergonomic Chairs,Suburb
EMP12,CWS2,3,Conference Rooms,Printing Services,Business District
EMP13,CWS15,5,High-Speed Internet,Event Spaces,Business District
EMP13,CWS1,3,Virtual Office,24/7 Access,Downtown
EMP13,CWS48,4,Open Seating,Event Spaces,Downtown
EMP13,CWS53,3,Conference Rooms,Coffee Bar,Business District
EMP13,CWS87,4,Open Seating,Coffee Bar,Downtown
EMP14,CWS74,3,High-Speed Internet,Ergonomic Chairs,Downtown
EMP14,CWS57,2,Virtual Office,Ergonomic Chairs,Suburb
EMP15,CWS33,4,High-Speed Internet,Event Spaces,Downtown
EMP15,CWS44,4,Open Seating,24/7 Access,Suburb
EMP15,CWS25,1,High-Speed Internet,24/7 Access,Suburb
EMP15,CWS32,2,Open Seating,Coffee Bar,Business District
EMP16,CWS90,4,Private Office,Ergonomic Chairs,Downtown
EMP16,CWS32,5,Open Seating,Coffee Bar,Business District
EMP17,CWS89,3,Open Seating,Printing Services,Business District
EMP17,CWS54,5,Open Seating,24/7 Access,Suburb
EMP17,CWS2,3,Conference Rooms,Printing Services,Business District
EMP17,CWS86,3,Virtual Office,Event Spaces,Suburb
EMP18,CWS25,1,High-Speed Internet,24/7 Access,Suburb
EMP18,CWS29,4,Conference Rooms,Ergonomic Chairs,Downtown
EMP18,CWS79,3,Conference Rooms,Event Spaces,Business District
EMP18,CWS73,1,Conference Rooms,24/7 Access,Downtown
EMP18,CWS83,5,High-Speed Internet,Event Spaces,Suburb
EMP19,CWS20,1,Open Seating,24/7 Access,Business District
EMP20,CWS50,5,Virtual Office,24/7 Access,Suburb
EMP20,CWS8,4,Private Office,24/7 Access,Suburb
EMP20,CWS67,3,Open Seating,Ergonomic Chairs,Business District
